Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1758.64412
FDW14,OUT017,1333.723902
NCN55,OUT010,486.912856
FDQ58,OUT017,2650.563116
FDY38,OUT027,6761.212316
FDH56,OUT046,2138.609522
FDL48,OUT018,619.866458
FDC48,OUT027,1809.457976
FDN33,OUT045,1018.833792
FDA36,OUT017,2585.374638
FDT44,OUT017,1834.605242
FDQ56,OUT045,1585.243168
NCC54,OUT019,693.790232
FDU11,OUT049,2030.343784
DRL59,OUT013,741.228482
FDM24,OUT049,2347.091476
FDI57,OUT045,4101.640926
DRC12,OUT018,2571.659158
NCM42,OUT027,2983.596276
FDA46,OUT010,499.64961
FDA31,OUT013,2791.359842
NCJ31,OUT035,3758.7739
FDG52,OUT046,696.29364
NCL19,OUT019,372.295386
FDS10,OUT035,2644.577574
FDX22,OUT010,558.233352
NCF19,OUT035,749.337926
NCE06,OUT046,2550.386848
DRC27,OUT046,3033.704384
FDE21,OUT035,2032.714032
NCR42,OUT019,80.082424
FDX51,OUT018,2779.34881
NCR06,OUT018,477.771422
FDU31,OUT027,5874.593088
FDU59,OUT017,2520.758748
FDR03,OUT027,5680.645548
FDS49,OUT027,2865.982706
FDD48,OUT010,210.133138
NCF18,OUT017,3267.153838
NCD43,OUT027,2791.825902
NCD54,OUT018,1748.99002
FDY19,OUT010,238.42298
NCY54,OUT017,2501.470522
NCL19,OUT018,2360.720402
FDP23,OUT010,654.394846
FDC26,OUT013,1624.172494
FDR14,OUT010,142.21488
NCS41,OUT035,2855.476382
FDF41,OUT035,4594.51935
FDU34,OUT046,2408.311786
DRH11,OUT046,869.208558
FDM03,OUT013,2325.153366
FDS31,OUT017,3000.580834
FDJ20,OUT017,1936.692356
FDV44,OUT027,4910.980748
FDG02,OUT049,2990.087826
FDA09,OUT013,3683.192284
FDT04,OUT013,606.170952
FDL58,OUT019,547.294258
FDE52,OUT045,1330.328322
FDW12,OUT035,2794.715474
FDL51,OUT017,3825.034316
NCY42,OUT027,2744.32773
FDR07,OUT017,1629.984928
FDN40,OUT045,2433.09952
FDB35,OUT027,2419.357408
FDA22,OUT017,2522.363326
NCL06,OUT046,4565.750132
FDI35,OUT013,3339.95241
NCW42,OUT045,3756.836422
NCX06,OUT049,3076.641826
FDC37,OUT027,2542.177534
FDZ14,OUT018,1759.662794
DRG49,OUT049,5394.797634
NCG06,OUT045,3618.583052
DRC36,OUT045,3020.581466
FDV21,OUT019,494.0236
FDB53,OUT046,2939.653476
DRP47,OUT019,437.26415
FDA14,OUT013,2048.679916
DRC24,OUT035,2781.752348
FDW21,OUT018,1536.673058
NCH29,OUT046,2135.167336
FDU58,OUT013,2674.824868
FDY27,OUT017,2634.144488
FDV56,OUT035,1411.515974
FDT59,OUT046,3616.745444
FDB23,OUT046,3567.85575
FDR49,OUT045,713.557834
FDB03,OUT010,528.492066
FDN39,OUT045,3000.907076
FDX02,OUT027,5571.54756
FDQ16,OUT027,2661.595422
FDU35,OUT018,1642.308886
NCT29,OUT013,1898.588622
FDZ27,OUT046,615.245806
FDN57,OUT017,1943.729862
FDA03,OUT018,2305.219314
FDZ36,OUT045,3594.05498
NCU05,OUT013,1459.23386
FDT39,OUT018,2052.221972
FDK60,OUT017,1644.519342
FDZ25,OUT017,3283.306146
FDG12,OUT046,2429.823784
DRB01,OUT019,540.017064
NCC43,OUT027,5766.134268
FDX13,OUT019,509.110628
FDM22,OUT049,865.912848
FDJ03,OUT027,1394.637944
