Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1788.878098
FDW14,OUT017,1370.94878
NCN55,OUT010,495.561598
FDQ58,OUT017,2418.971244
FDY38,OUT027,6593.224318
FDH56,OUT046,1965.654656
FDL48,OUT018,609.70635
FDC48,OUT027,1805.496466
FDN33,OUT045,1047.030422
FDA36,OUT017,2678.433504
FDT44,OUT017,1810.34349
FDQ56,OUT045,1597.666996
NCC54,OUT019,707.21276
FDU11,OUT049,1894.66706
DRL59,OUT013,770.250704
FDM24,OUT049,2492.595408
FDI57,OUT045,4239.588028
DRC12,OUT018,2536.178676
NCM42,OUT027,2903.893358
FDA46,OUT010,489.243156
FDA31,OUT013,2526.284888
NCJ31,OUT035,3544.066716
FDG52,OUT046,704.496296
NCL19,OUT019,377.10912
FDS10,OUT035,2445.163816
FDX22,OUT010,552.993506
NCF19,OUT035,752.340684
NCE06,OUT046,2419.430646
DRC27,OUT046,2997.518154
FDE21,OUT035,2020.796212
NCR42,OUT019,77.246116
FDX51,OUT018,2754.31473
NCR06,OUT018,478.663594
FDU31,OUT027,5739.109446
FDU59,OUT017,2445.45011
FDR03,OUT027,5771.92007
FDS49,OUT027,2841.228262
FDD48,OUT010,212.82297
NCF18,OUT017,3253.305198
NCD43,OUT027,2703.8138
NCD54,OUT018,1832.694396
FDY19,OUT010,253.190424
NCY54,OUT017,2391.726708
NCL19,OUT018,2341.046012
FDP23,OUT010,647.617002
FDC26,OUT013,1621.169736
FDR14,OUT010,138.572954
NCS41,OUT035,2685.444378
FDF41,OUT035,4524.923276
FDU34,OUT046,2425.089946
DRH11,OUT046,902.32545
FDM03,OUT013,2249.258824
FDS31,OUT017,2788.030842
FDJ20,OUT017,1890.665602
FDV44,OUT027,4852.576772
FDG02,OUT049,2941.131552
FDA09,OUT013,3724.41862
FDT04,OUT013,588.473988
FDL58,OUT019,542.773476
FDE52,OUT045,1303.742928
FDW12,OUT035,2752.989788
FDL51,OUT017,4295.781548
NCY42,OUT027,2791.10018
FDR07,OUT017,1455.265692
FDN40,OUT045,2762.00472
FDB35,OUT027,2429.497542
FDA22,OUT017,2665.916464
NCL06,OUT046,4631.644358
FDI35,OUT013,3427.258764
NCW42,OUT045,4000.432668
NCX06,OUT049,3146.47093
FDC37,OUT027,2537.337168
FDZ14,OUT018,1732.950898
DRG49,OUT049,5249.573338
NCG06,OUT045,3618.136966
DRC36,OUT045,3333.021432
FDV21,OUT019,504.769612
FDB53,OUT046,2944.60037
DRP47,OUT019,457.065042
FDA14,OUT013,2164.369324
DRC24,OUT035,2867.96679
FDW21,OUT018,1535.527882
NCH29,OUT046,2210.456
FDU58,OUT013,2495.55156
FDY27,OUT017,2635.5693
FDV56,OUT035,1378.984986
FDT59,OUT046,3675.91509
FDB23,OUT046,3586.13196
FDR49,OUT045,676.572644
FDB03,OUT010,536.907778
FDN39,OUT045,3092.827424
FDX02,OUT027,5595.08359
FDQ16,OUT027,2626.68087
FDU35,OUT018,1661.310818
NCT29,OUT013,1900.033408
FDZ27,OUT046,647.783452
FDN57,OUT017,1847.142256
FDA03,OUT018,2337.950042
FDZ36,OUT045,3687.986044
NCU05,OUT013,1393.266396
FDT39,OUT018,2031.302536
FDK60,OUT017,1529.84195
FDZ25,OUT017,3490.15689
FDG12,OUT046,2544.38799
DRB01,OUT019,526.807592
NCC43,OUT027,5698.522278
FDX13,OUT019,513.285194
FDM22,OUT049,853.136146
FDJ03,OUT027,1431.842848
FDU14,OUT018,4386.263768
FDB33,OUT010,400.4787
FDP27,OUT046,3671.301096
