Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1570.409315
FDW14,OUT017,1297.989508
NCN55,OUT010,728.8938476
FDQ58,OUT017,2550.882721
FDY38,OUT027,5855.487391
FDH56,OUT046,1839.627916
FDL48,OUT018,585.0188829
FDC48,OUT027,2346.032587
FDN33,OUT045,1532.132882
FDA36,OUT017,3099.456998
FDT44,OUT017,1882.122295
FDQ56,OUT045,1295.732125
NCC54,OUT019,505.483571
FDU11,OUT049,2077.1911
DRL59,OUT013,791.5429128
FDM24,OUT049,2486.947442
FDI57,OUT045,3171.097632
DRC12,OUT018,2792.303884
NCM42,OUT027,3009.100929
FDA46,OUT010,637.3849399
FDA31,OUT013,2835.890145
NCJ31,OUT035,3845.609876
FDG52,OUT046,716.6883915
NCL19,OUT019,472.8905249
FDS10,OUT035,2990.446516
FDX22,OUT010,761.1613232
NCF19,OUT035,819.6898559
NCE06,OUT046,2442.783955
DRC27,OUT046,3865.819473
FDE21,OUT035,1903.704007
NCR42,OUT019,83.4817765
FDX51,OUT018,2804.538173
NCR06,OUT018,550.2208206
FDU31,OUT027,5544.221678
FDU59,OUT017,2580.656894
FDR03,OUT027,5192.12944
FDS49,OUT027,2471.383411
FDD48,OUT010,284.6519635
NCF18,OUT017,3135.167719
NCD43,OUT027,2945.536082
NCD54,OUT018,1898.623101
FDY19,OUT010,339.6402974
NCY54,OUT017,2812.89625
NCL19,OUT018,2102.628383
FDP23,OUT010,413.3891139
FDC26,OUT013,1851.730608
FDR14,OUT010,152.8953379
NCS41,OUT035,3074.350344
FDF41,OUT035,4224.501131
FDU34,OUT046,1900.025661
DRH11,OUT046,947.0435439
FDM03,OUT013,1733.223138
FDS31,OUT017,3047.646052
FDJ20,OUT017,1987.596213
FDV44,OUT027,4911.177036
FDG02,OUT049,3281.443401
FDA09,OUT013,3104.227664
FDT04,OUT013,597.4491758
FDL58,OUT019,573.1328973
FDE52,OUT045,1333.657564
FDW12,OUT035,2505.353217
FDL51,OUT017,3592.916838
NCY42,OUT027,3492.982411
FDR07,OUT017,1446.384711
FDN40,OUT045,2247.647372
FDB35,OUT027,2683.265683
FDA22,OUT017,2811.809534
NCL06,OUT046,4462.36369
FDI35,OUT013,3120.539444
NCW42,OUT045,3559.447527
NCX06,OUT049,3082.588705
FDC37,OUT027,3041.232231
FDZ14,OUT018,1719.542375
DRG49,OUT049,4341.904775
NCG06,OUT045,4022.66299
DRC36,OUT045,2787.468013
FDV21,OUT019,336.2169411
FDB53,OUT046,2346.637468
DRP47,OUT019,564.459948
FDA14,OUT013,2346.762426
DRC24,OUT035,2504.0142
FDW21,OUT018,1441.555797
NCH29,OUT046,1640.802144
FDU58,OUT013,3090.158111
FDY27,OUT017,2885.906004
FDV56,OUT035,1782.021414
FDT59,OUT046,3779.208393
FDB23,OUT046,3686.194729
FDR49,OUT045,689.6136583
FDB03,OUT010,600.8963713
FDN39,OUT045,2676.568084
FDX02,OUT027,5660.015233
FDQ16,OUT027,2904.691476
FDU35,OUT018,1426.10889
NCT29,OUT013,1991.670281
FDZ27,OUT046,749.4894323
FDN57,OUT017,2153.926648
FDA03,OUT018,2120.898496
FDZ36,OUT045,3125.642786
NCU05,OUT013,1217.69344
FDT39,OUT018,2032.103179
FDK60,OUT017,1631.6364
FDZ25,OUT017,2917.663461
FDG12,OUT046,1943.54064
DRB01,OUT019,433.7995162
NCC43,OUT027,6212.94347
FDX13,OUT019,752.2665243
FDM22,OUT049,884.7611854
FDJ03,OUT027,1600.399392
FDU14,OUT018,3772.917685
FDB33,OUT010,453.1094462
FDP27,OUT046,3171.179574
FDO38,OUT010,173.5047527
FDE28,OUT027,5638.321223
FDO27,OUT035,1604.719125
DRL23,OUT027,3035.706233
FDS28,OUT046,858.0993528
FDX24,OUT013,1286.215477
FDZ02,OUT035,1573.006859
FDL46,OUT045,1731.978555
FDS60,OUT027,4496.26901
NCO06,OUT017,590.2021421
FDO16,OUT035,1433.108542
FDC60,OUT049,1521.27243
FDA48,OUT018,3295.54345
FDZ36,OUT027,4932.26658
FDK27,OUT045,1879.755689
FDW23,OUT018,623.2546446
FDM14,OUT018,1434.520662
FDM14,OUT013,1651.706381
FDW60,OUT018,2538.560837
FDE21,OUT013,1824.986007
NCM42,OUT035,1799.577085
FDY59,OUT010,247.500645
DRI49,OUT049,1218.608996
FDT28,OUT019,376.9089945
FDQ22,OUT018,503.0020164
FDR60,OUT049,1173.551081
FDC50,OUT019,278.8835283
FDV24,OUT013,2395.419071
DRF48,OUT010,243.9836488
FDQ47,OUT046,663.3569243
DRN36,OUT049,1581.260206
NCY06,OUT035,2088.097589
FDE52,OUT035,1401.377036
NCB54,OUT045,1966.559839
NCF31,OUT035,2489.581634
FDJ08,OUT027,4821.495845
NCC07,OUT017,1712.649964
NCD19,OUT027,1646.678728
FDL46,OUT049,1783.82142
FDM20,OUT045,4131.824259
NCI06,OUT010,528.498389
DRM11,OUT035,4333.126993
NCH07,OUT018,2220.627078
FDS23,OUT013,2081.114339
FDO49,OUT018,602.4355944
FDS35,OUT049,1080.981159
DRK39,OUT045,1181.686292
DRI39,OUT049,907.8508769
FDV04,OUT017,2561.33089
NCN14,OUT035,3001.279703
FDH08,OUT013,4017.52691
FDS20,OUT046,3059.157651
FDV40,OUT049,1152.609244
FDZ48,OUT010,269.0013457
FDS24,OUT027,2429.134359
FDK44,OUT049,2836.135411
FDS48,OUT045,2389.455358
FDK26,OUT010,544.165546
FDD23,OUT045,3188.478955
NCH54,OUT017,2645.080744
NCP14,OUT010,223.7504731
FDM60,OUT010,105.9477701
FDV24,OUT017,2372.370328
FDH08,OUT018,3451.836242
FDS12,OUT027,3524.456736
FDR39,OUT027,4784.942354
FDP12,OUT027,1322.946551
DRF60,OUT027,5684.996741
FDC09,OUT035,1714.667403
FDF50,OUT018,3034.500141
FDG28,OUT035,4234.673365
NCE19,OUT017,911.4886125
NCM53,OUT010,268.8303436
NCN18,OUT049,1831.6983
FDF32,OUT035,3360.79741
FDF11,OUT013,4106.993682
DRI59,OUT049,3885.616123
NCG54,OUT035,2748.875137
FDM44,OUT046,1572.586178
FDT57,OUT018,3410.444086
FDV24,OUT046,2342.708463
FDI50,OUT019,844.4125606
FDS09,OUT035,862.3121303
NCC31,OUT027,4151.711978
FDQ07,OUT019,576.8348044
FDC22,OUT017,3278.487416
FDZ56,OUT046,2723.975389
FDZ40,OUT019,157.3586144
FDS46,OUT027,3315.522695
DRD24,OUT045,2079.614615
FDV45,OUT017,3237.870013
FDL26,OUT045,2440.635778
FDA56,OUT018,1649.878298
FDN27,OUT046,1642.372329
FDM20,OUT049,4330.898359
FDO16,OUT017,1444.07009
FDL03,OUT035,3304.901821
FDE58,OUT046,1778.233358
FDI02,OUT027,3279.141846
NCC55,OUT019,145.6158003
FDR03,OUT018,3065.491789
FDB14,OUT017,1332.244725
FDR45,OUT013,4079.22982
NCN07,OUT017,2074.705708
FDM51,OUT019,311.5498615
FDT52,OUT027,5936.361414
FDL26,OUT046,2413.173827
NCZ42,OUT046,3974.225081
DRI47,OUT019,390.0955663
FDW40,OUT013,2189.337008
FDN34,OUT046,2754.586293
FDS01,OUT035,2941.882167
NCG55,OUT045,1802.335884
FDC11,OUT035,1321.617618
FDX35,OUT018,3462.12816
NCB06,OUT046,2520.584688
FDR09,OUT019,616.7423021
FDC53,OUT017,1634.05133
FDY45,OUT013,4280.553767
FDA22,OUT010,569.1895255
FDE02,OUT035,1543.240568
FDW21,OUT045,1675.950755
FDV34,OUT046,1089.616889
FDS59,OUT049,1784.528822
NCW17,OUT017,2140.440951
NCK54,OUT046,1818.001929
FDG17,OUT019,1068.413888
FDG35,OUT017,2884.481045
FDD08,OUT010,29.10338592
NCO07,OUT017,3690.76109
FDJ10,OUT010,447.4704656
FDW36,OUT017,1680.181268
FDW21,OUT010,307.7513637
FDY19,OUT017,1897.034183
DRE03,OUT013,698.013771
NCC55,OUT049,712.9329658
FDH52,OUT010,162.2356346
FDO09,OUT017,4417.837214
FDU43,OUT045,4004.930699
FDX09,OUT010,446.253507
FDH40,OUT019,275.0899295
FDW58,OUT017,1675.525839
FDC47,OUT017,3970.679685
NCR41,OUT035,1476.006777
DRG49,OUT035,4218.537368
FDC52,OUT027,4028.217488
FDY13,OUT046,1108.673702
FDY35,OUT013,639.7370397
FDI35,OUT017,3149.664799
NCU18,OUT049,2403.118651
FDY33,OUT018,2329.994048
FDC15,OUT027,4075.311338
FDU01,OUT049,3170.062709
NCU42,OUT046,2818.171593
NCV29,OUT018,2543.681672
NCY30,OUT017,3108.198115
FDQ46,OUT049,1873.273827
FDG58,OUT027,4191.406596
FDK33,OUT017,3700.557674
NCD07,OUT045,1801.047417
NCX29,OUT027,4028.7163
NCT42,OUT013,2302.645103
DRN59,OUT035,790.3324338
FDI44,OUT035,1199.762615
