Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1570.788131
FDW14,OUT017,1281.832245
NCN55,OUT010,747.9824714
FDQ58,OUT017,2557.537299
FDY38,OUT027,5844.470773
FDH56,OUT046,1831.632871
FDL48,OUT018,550.5780919
FDC48,OUT027,2357.226291
FDN33,OUT045,1532.100771
FDA36,OUT017,3090.634049
FDT44,OUT017,1866.394989
FDQ56,OUT045,1290.859875
NCC54,OUT019,511.7268752
FDU11,OUT049,2083.562787
DRL59,OUT013,766.3722636
FDM24,OUT049,2465.553692
FDI57,OUT045,3159.818871
DRC12,OUT018,2788.80767
NCM42,OUT027,2997.390721
FDA46,OUT010,625.2623357
FDA31,OUT013,2823.150865
NCJ31,OUT035,3817.408915
FDG52,OUT046,739.8645705
NCL19,OUT019,454.0968734
FDS10,OUT035,2970.041746
FDX22,OUT010,790.9037418
NCF19,OUT035,811.569373
NCE06,OUT046,2424.918255
DRC27,OUT046,3824.436673
FDE21,OUT035,1947.446109
NCR42,OUT019,84.01348919
FDX51,OUT018,2841.03256
NCR06,OUT018,534.9229877
FDU31,OUT027,5493.872553
FDU59,OUT017,2591.604094
FDR03,OUT027,5207.84191
FDS49,OUT027,2486.873582
FDD48,OUT010,275.0067548
NCF18,OUT017,3146.430467
NCD43,OUT027,2918.352941
NCD54,OUT018,1908.822651
FDY19,OUT010,364.567259
NCY54,OUT017,2817.044101
NCL19,OUT018,2091.471473
FDP23,OUT010,415.7867999
FDC26,OUT013,1860.13719
FDR14,OUT010,153.9826876
NCS41,OUT035,3064.550002
FDF41,OUT035,4210.58733
FDU34,OUT046,1884.169914
DRH11,OUT046,949.5086666
FDM03,OUT013,1748.7763
FDS31,OUT017,3069.778948
FDJ20,OUT017,1980.915838
FDV44,OUT027,4910.121701
FDG02,OUT049,3256.932872
FDA09,OUT013,3100.398658
FDT04,OUT013,579.4705256
FDL58,OUT019,559.268813
FDE52,OUT045,1316.073823
FDW12,OUT035,2497.667062
FDL51,OUT017,3612.774991
NCY42,OUT027,3465.824507
FDR07,OUT017,1468.41289
FDN40,OUT045,2235.237992
FDB35,OUT027,2695.498604
FDA22,OUT017,2786.726482
NCL06,OUT046,4441.003604
FDI35,OUT013,3114.385816
NCW42,OUT045,3550.337415
NCX06,OUT049,3062.076467
FDC37,OUT027,3058.366836
FDZ14,OUT018,1732.670304
DRG49,OUT049,4299.757496
NCG06,OUT045,3998.571243
DRC36,OUT045,2761.719584
FDV21,OUT019,306.6029937
FDB53,OUT046,2340.150803
DRP47,OUT019,770.9402643
FDA14,OUT013,2341.137786
DRC24,OUT035,2494.809567
FDW21,OUT018,1443.503704
NCH29,OUT046,1672.725952
FDU58,OUT013,3058.867137
FDY27,OUT017,2892.123771
FDV56,OUT035,1775.0919
FDT59,OUT046,3774.988956
FDB23,OUT046,3664.593904
FDR49,OUT045,676.4192097
FDB03,OUT010,655.7852022
FDN39,OUT045,2661.423333
FDX02,OUT027,5497.608116
FDQ16,OUT027,2904.252447
FDU35,OUT018,1419.944702
NCT29,OUT013,1983.155242
FDZ27,OUT046,729.5499547
FDN57,OUT017,2140.745123
FDA03,OUT018,2126.361793
FDZ36,OUT045,3115.733623
NCU05,OUT013,1227.394718
FDT39,OUT018,2007.315913
FDK60,OUT017,1617.835608
FDZ25,OUT017,2898.762753
FDG12,OUT046,1989.09461
DRB01,OUT019,439.7755701
NCC43,OUT027,6175.169821
FDX13,OUT019,809.1133258
FDM22,OUT049,869.0063659
FDJ03,OUT027,1641.497554
FDU14,OUT018,3742.78001
FDB33,OUT010,471.2837715
FDP27,OUT046,3153.489975
FDO38,OUT010,207.2056451
