Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1553.69706
FDW14,OUT017,1294.279995
NCN55,OUT010,739.5946991
FDQ58,OUT017,2561.02098
FDY38,OUT027,5844.01121
FDH56,OUT046,1828.936419
FDL48,OUT018,567.2132855
FDC48,OUT027,2358.89198
FDN33,OUT045,1530.89382
FDA36,OUT017,3096.335684
FDT44,OUT017,1865.771725
FDQ56,OUT045,1284.058201
NCC54,OUT019,487.6513774
FDU11,OUT049,2083.437162
DRL59,OUT013,774.3585495
FDM24,OUT049,2471.505244
FDI57,OUT045,3172.294013
DRC12,OUT018,2781.092285
NCM42,OUT027,3000.707059
FDA46,OUT010,616.6778089
FDA31,OUT013,2829.572067
NCJ31,OUT035,3796.609716
FDG52,OUT046,741.9727089
NCL19,OUT019,450.6048857
FDS10,OUT035,2964.00889
FDX22,OUT010,799.1832703
NCF19,OUT035,813.571692
NCE06,OUT046,2431.890224
DRC27,OUT046,3841.492011
FDE21,OUT035,1937.822447
NCR42,OUT019,81.42225833
FDX51,OUT018,2843.772454
NCR06,OUT018,540.0534009
FDU31,OUT027,5455.483307
FDU59,OUT017,2597.000156
FDR03,OUT027,5188.964841
FDS49,OUT027,2487.204001
FDD48,OUT010,282.8120266
NCF18,OUT017,3157.448705
NCD43,OUT027,2927.036078
NCD54,OUT018,1907.024844
FDY19,OUT010,362.2558185
NCY54,OUT017,2818.630855
NCL19,OUT018,2092.818551
FDP23,OUT010,395.2089677
FDC26,OUT013,1859.305962
FDR14,OUT010,155.7229836
NCS41,OUT035,3055.555087
FDF41,OUT035,4202.378049
FDU34,OUT046,1882.450348
DRH11,OUT046,962.264138
FDM03,OUT013,1749.602304
FDS31,OUT017,3081.816777
FDJ20,OUT017,1980.645084
FDV44,OUT027,4896.552611
FDG02,OUT049,3257.035338
FDA09,OUT013,3106.785578
FDT04,OUT013,575.556558
FDL58,OUT019,515.3427152
FDE52,OUT045,1322.101168
FDW12,OUT035,2491.521534
FDL51,OUT017,3625.57211
NCY42,OUT027,3456.623853
FDR07,OUT017,1473.512437
FDN40,OUT045,2242.208835
FDB35,OUT027,2697.552499
FDA22,OUT017,2792.780416
NCL06,OUT046,4445.700843
FDI35,OUT013,3107.736529
NCW42,OUT045,3545.171287
NCX06,OUT049,3075.349182
FDC37,OUT027,3070.324704
FDZ14,OUT018,1733.43881
DRG49,OUT049,4340.914948
NCG06,OUT045,4021.446313
DRC36,OUT045,2767.345535
FDV21,OUT019,313.5391545
FDB53,OUT046,2342.326731
DRP47,OUT019,768.3736161
FDA14,OUT013,2343.702898
DRC24,OUT035,2497.652352
FDW21,OUT018,1437.538699
NCH29,OUT046,1667.478641
FDU58,OUT013,3068.752899
FDY27,OUT017,2899.420748
FDV56,OUT035,1779.421265
FDT59,OUT046,3783.369545
