Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1816.011951
FDW14,OUT017,1386.786089
NCN55,OUT010,1870.44202
FDQ58,OUT017,2575.888998
FDY38,OUT027,5080.824759
FDH56,OUT046,1940.985841
FDL48,OUT018,598.4026366
FDC48,OUT027,2743.080615
FDN33,OUT045,1631.042935
FDA36,OUT017,3008.271485
FDT44,OUT017,1970.171862
FDQ56,OUT045,1459.145275
NCC54,OUT019,1858.237793
FDU11,OUT049,2033.905565
DRL59,OUT013,907.0046847
FDM24,OUT049,2600.68057
FDI57,OUT045,3250.45874
DRC12,OUT018,2750.493924
NCM42,OUT027,3188.561517
FDA46,OUT010,1114.415281
FDA31,OUT013,2928.735918
NCJ31,OUT035,3801.098417
FDG52,OUT046,751.7255335
NCL19,OUT019,418.8550665
FDS10,OUT035,2966.909015
FDX22,OUT010,1431.031493
NCF19,OUT035,840.8108163
NCE06,OUT046,2596.132938
DRC27,OUT046,3754.549481
FDE21,OUT035,1933.527624
NCR42,OUT019,0
FDX51,OUT018,2855.670582
NCR06,OUT018,441.3550311
FDU31,OUT027,4949.711829
FDU59,OUT017,2708.385816
FDR03,OUT027,4714.831623
FDS49,OUT027,2740.298711
FDD48,OUT010,0
NCF18,OUT017,3073.121378
NCD43,OUT027,3091.809253
NCD54,OUT018,2064.710618
FDY19,OUT010,0
NCY54,OUT017,2845.407111
NCL19,OUT018,2092.398811
FDP23,OUT010,1498.671584
FDC26,OUT013,1867.639758
FDR14,OUT010,0
NCS41,OUT035,3009.52175
FDF41,OUT035,3937.643856
FDU34,OUT046,1968.068955
DRH11,OUT046,918.104494
FDM03,OUT013,1765.951993
FDS31,OUT017,3060.96876
FDJ20,OUT017,2080.06369
FDV44,OUT027,4499.159992
FDG02,OUT049,3089.210543
FDA09,OUT013,3003.170095
FDT04,OUT013,684.2946371
FDL58,OUT019,2266.735286
FDE52,OUT045,1480.152872
FDW12,OUT035,2464.320414
FDL51,OUT017,3410.502785
NCY42,OUT027,3680.151699
FDR07,OUT017,1638.538944
FDN40,OUT045,2530.861926
FDB35,OUT027,2929.023205
FDA22,OUT017,2733.550887
NCL06,OUT046,4099.054282
FDI35,OUT013,2992.840146
NCW42,OUT045,3533.757073
NCX06,OUT049,2995.272609
FDC37,OUT027,3162.761301
FDZ14,OUT018,1658.593435
DRG49,OUT049,3930.093749
NCG06,OUT045,4074.043624
DRC36,OUT045,2899.280598
FDV21,OUT019,51.36915297
FDB53,OUT046,2391.077515
DRP47,OUT019,2031.357143
FDA14,OUT013,2338.530595
DRC24,OUT035,2526.018672
FDW21,OUT018,1399.574078
NCH29,OUT046,1555.400261
FDU58,OUT013,3098.658356
FDY27,OUT017,2852.680468
FDV56,OUT035,1886.070185
FDT59,OUT046,3592.081683
FDB23,OUT046,3583.118072
FDR49,OUT045,824.8303817
FDB03,OUT010,1833.626373
FDN39,OUT045,2780.61268
FDX02,OUT027,4867.36331
FDQ16,OUT027,3153.915913
FDU35,OUT018,1322.304776
NCT29,OUT013,2016.506108
FDZ27,OUT046,715.8475855
FDN57,OUT017,2278.250471
FDA03,OUT018,2077.199131
FDZ36,OUT045,3093.815335
NCU05,OUT013,1379.114537
FDT39,OUT018,2242.800701
FDK60,OUT017,1653.988441
FDZ25,OUT017,2857.217527
FDG12,OUT046,1937.906927
DRB01,OUT019,1096.515577
NCC43,OUT027,5360.670979
FDX13,OUT019,2012.534534
FDM22,OUT049,1010.693426
FDJ03,OUT027,2214.373899
FDU14,OUT018,3579.509417
FDB33,OUT010,700.6837315
FDP27,OUT046,2983.334151
FDO38,OUT010,0
FDE28,OUT027,5118.131475
FDO27,OUT035,1618.043309
DRL23,OUT027,3147.057445
FDS28,OUT046,948.5229432
FDX24,OUT013,1558.725171
FDZ02,OUT035,1580.684247
FDL46,OUT045,1914.338387
FDS60,OUT027,4315.68358
NCO06,OUT017,603.7947477
FDO16,OUT035,1420.253284
FDC60,OUT049,1534.757437
