Item_Identifier,Item_Weight_Unique_Count,Item_Weight_Unique_Value,Item_FatContent_Unique_Count,Item_FatContent_Unique_Value,Item_Type_Unique_Count,Item_Type_Unique_Value
DRA12,1,[11.6],2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRA24,1,"[nan, 19.35]",1,['Regular'],1,['Soft Drinks']
DRA59,1,"[8.27, nan]",1,['Regular'],1,['Soft Drinks']
DRB01,1,"[nan, 7.39]",1,['Low Fat'],1,['Soft Drinks']
DRB13,1,[6.115],1,['Regular'],1,['Soft Drinks']
DRB24,1,[8.785],1,['Low Fat'],1,['Soft Drinks']
DRB25,1,"[nan, 12.3]",1,['Low Fat'],1,['Soft Drinks']
DRB48,1,"[16.75, nan]",1,['Regular'],1,['Soft Drinks']
DRC01,1,"[nan, 5.92]",1,['Regular'],1,['Soft Drinks']
DRC12,1,[17.85],1,['Low Fat'],1,['Soft Drinks']
DRC13,1,[8.26],1,['Regular'],1,['Soft Drinks']
DRC24,1,[17.85],1,['Low Fat'],1,['Soft Drinks']
DRC25,1,"[5.73, nan]",1,['Low Fat'],1,['Soft Drinks']
DRC27,1,[13.8],1,['Low Fat'],1,['Dairy']
DRC36,1,"[13.0, nan]",2,"['reg', 'Regular']",1,['Soft Drinks']
DRC49,1,"[8.67, nan]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRD01,1,[12.1],1,['Regular'],1,['Soft Drinks']
DRD12,1,"[nan, 6.96]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRD13,1,"[nan, 15.0]",1,['Low Fat'],1,['Soft Drinks']
DRD15,1,"[10.6, nan]",1,['Low Fat'],1,['Dairy']
DRD24,1,"[13.85, nan]",1,['Low Fat'],1,['Soft Drinks']
DRD25,1,"[nan, 6.135]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRD27,1,"[18.75, nan]",1,['Low Fat'],1,['Dairy']
DRD37,1,[9.8],2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRD49,1,[9.895],2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRD60,1,"[nan, 15.7]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRE01,1,[10.1],1,['Low Fat'],1,['Soft Drinks']
DRE03,1,[19.6],1,['Low Fat'],1,['Dairy']
DRE12,1,"[4.59, nan]",1,['Low Fat'],1,['Soft Drinks']
DRE13,1,"[nan, 6.28]",2,"['Low Fat', 'low fat']",1,['Soft Drinks']
DRE15,1,"[13.35, nan]",1,['Low Fat'],1,['Dairy']
DRE25,1,"[nan, 15.35]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRE27,1,[11.85],1,['Low Fat'],1,['Dairy']
DRE37,1,"[nan, 13.5]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRE48,1,"[8.43, nan]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRE49,1,"[nan, 20.75]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRE60,1,"[9.395, nan]",2,"['Low Fat', 'low fat']",1,['Soft Drinks']
DRF01,1,"[nan, 5.655]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRF03,1,"[19.1, nan]",1,['Low Fat'],1,['Dairy']
DRF13,1,[12.1],1,['Low Fat'],1,['Soft Drinks']
DRF15,1,"[18.35, nan]",2,"['Low Fat', 'LF']",1,['Dairy']
DRF23,1,"[4.61, nan]",1,['Low Fat'],1,['Hard Drinks']
DRF25,1,"[9.0, nan]",1,['Low Fat'],1,['Soft Drinks']
DRF27,1,"[8.93, nan]",2,"['Low Fat', 'low fat']",1,['Dairy']
DRF36,1,"[16.1, nan]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRF37,1,"[17.25, nan]",2,"['Low Fat', 'low fat']",1,['Soft Drinks']
DRF48,1,[5.73],1,['Low Fat'],1,['Soft Drinks']
DRF49,1,"[nan, 7.27]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRF51,1,[15.75],1,['Low Fat'],1,['Dairy']
DRF60,1,[10.8],2,"['Low Fat', 'low fat']",1,['Soft Drinks']
DRG01,1,"[nan, 14.8]",1,['Low Fat'],1,['Soft Drinks']
DRG03,1,"[nan, 14.5]",1,['Low Fat'],1,['Dairy']
DRG11,1,[6.385],1,['Low Fat'],1,['Hard Drinks']
